,3LargestGFA,ListOfAllPropertyUseTypes,FirstUseType,SecondLargestPropertyUseType,YearBuilt,NumberofFloors,NumberofBuildings,Latitude,Longitude,Neighborhood,SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu)
1777,37460.0,"Office, Other - Utility, Parking",Other,Office,1997,1,1.0,47.56319,-122.35067,DELRIDGE,1509292.0,921235.0,588057.0,0.0
1778,76334.0,"Non-Refrigerated Warehouse, Office, Retail Store",Small- and Mid-Sized Office,Non-Refrigerated Warehouse,1988,2,1.0,47.56877,-122.36369,DELRIDGE,3046543.0,3046543.0,0.0,0.0
1779,24155.0,Office,Small- and Mid-Sized Office,,1959,3,1.0,47.60789,-122.32249,EAST,1356874.75,607890.0,0.0,748984.6875
1780,35770.0,Hotel,Hotel,,1928,6,1.0,47.60958,-122.32646,EAST,2640980.25,605147.0,2035833.0,0.0
1782,48006.0,Hotel,Hotel,,1928,9,1.0,47.60981,-122.32687,EAST,3239754.0,1533438.0,1706316.0,0.0
1783,34000.0,"Office, Restaurant, Supermarket/Grocery Store",Mixed Use Property,Office,1960,2,1.0,47.59949,-122.31851,DOWNTOWN,5144392.0,2737254.0,2407137.0,0.0
1784,22705.0,"Office, Other, Retail Store",Small- and Mid-Sized Office,Other,1989,2,1.0,47.59727,-122.32196,DOWNTOWN,1625308.625,864104.0,761205.0,0.0
1785,20424.0,Office,Small- and Mid-Sized Office,,1973,2,1.0,47.5956,-122.32292,GREATER DUWAMISH,2796425.0,820533.0,1975892.0,0.0
1806,65257.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1984,4,1.0,47.62481,-122.35762,MAGNOLIA / QUEEN ANNE,2190460.0,1994494.0,195966.0,0.0
1811,34030.0,Office,Small- and Mid-Sized Office,,1979,3,1.0,47.61833,-122.35871,DOWNTOWN,1748629.875,1530330.0,218300.0,0.0
1817,20398.0,"Office, Restaurant",Restaurant,Office,1902,2,1.0,47.58654,-122.37644,SOUTHWEST,9313513.0,3478554.0,5834959.0,0.0
1818,41308.0,Distribution Center,Distribution Center,,1952,1,1.0,47.5746,-122.32637,GREATER DUWAMISH,1642471.5,1054767.0,587704.0,0.0
1840,34976.0,Performing Arts,Performing Arts,,1912,3,1.0,47.62591,-122.35843,MAGNOLIA / QUEEN ANNE,873711.125,665472.0,208239.0,0.0
1861,38255.0,Non-Refrigerated Warehouse,Warehouse,,1957,1,1.0,47.65674,-122.37223,MAGNOLIA / QUEEN ANNE,985401.8125,401825.0,583577.0,0.0
1862,260241.0,Other,Other,,1955,1,23.0,47.65561,-122.38063,MAGNOLIA / QUEEN ANNE,34012980.0,26894616.0,7118362.0,0.0
1870,44468.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1989,3,1.0,47.65103,-122.35541,LAKE UNION,2282551.25,1343373.0,939178.0,0.0
1875,50333.0,Office,Small- and Mid-Sized Office,,1959,4,1.0,47.64168,-122.32562,LAKE UNION,1602084.375,1602084.0,0.0,0.0
1876,53810.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1986,4,1.0,47.6404,-122.32553,LAKE UNION,2520483.25,2520483.0,0.0,0.0
1877,26494.0,"Office, Parking",Small- and Mid-Sized Office,Parking,1969,3,1.0,47.63995,-122.32557,LAKE UNION,666740.3125,666740.0,0.0,0.0
1878,55613.0,"Office, Parking",Small- and Mid-Sized Office,Parking,2000,3,1.0,47.64113,-122.32625,LAKE UNION,1994967.75,1994967.0,0.0,0.0
1883,144682.0,"Restaurant, Senior Care Community",Senior Care Community,Restaurant,2008,3,1.0,47.54542,-122.3734,DELRIDGE,5121586.0,3601807.0,0.0,0.0
1884,24224.0,"Parking, Worship Facility",Worship Facility,Parking,1957,2,1.0,47.52172,-122.35487,DELRIDGE,968026.3125,534935.0,433091.0,0.0
1885,23706.0,Worship Facility,Worship Facility,,1963,1,1.0,47.51989,-122.35489,DELRIDGE,400770.9063,176869.0,223902.0,0.0
1887,32000.0,"Non-Refrigerated Warehouse, Office",Warehouse,Office,1963,1,1.0,47.5465,-122.31704,GREATER DUWAMISH,1964681.25,1964681.0,0.0,0.0
1889,49000.0,Social/Meeting Hall,Social/Meeting Hall,,1917,1,1.0,47.5219,-122.38787,SOUTHWEST,3835202.0,538005.0,3297197.0,0.0
1890,39923.0,"Other - Recreation, Worship Facility",Worship Facility,Other - Recreation,1952,3,1.0,47.52097,-122.38688,SOUTHWEST,1686262.25,612433.0,1073829.0,0.0
1893,42760.0,Supermarket/Grocery Store,Supermarket / Grocery Store,,1959,1,1.0,47.52262,-122.26922,SOUTHEAST,2842819.5,2061754.0,781065.0,0.0
1894,40867.0,K-12 School,K-12 School,,1958,1,1.0,47.69497,-122.38704,BALLARD,945537.0,0.0,945537.0,0.0
1897,46970.0,Non-Refrigerated Warehouse,Warehouse,,1948,1,1.0,47.65649,-122.37507,MAGNOLIA / QUEEN ANNE,882896.5,882896.0,0.0,0.0
1898,29200.0,"Non-Refrigerated Warehouse, Office, Other, Parking, Retail Store",Warehouse,Office,1931,1,1.0,47.6331,-122.37582,MAGNOLIA / QUEEN ANNE,1035554.688,844482.0,191073.0,0.0
